date;annee;ile;site;ile x site;identificateur;n.quadrat;genre;recouvrement
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;1;Acropora;1,23
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;2;Acropora;3,70
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;3;Acropora;3,70
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;4;Acropora;3,70
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;5;Acropora;8,64
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;6;Acropora;7,41
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;7;Acropora;9,88
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;8;Acropora;11,11
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;9;Acropora;12,35
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;10;Acropora;19,75
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;11;Acropora;3,70
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;12;Acropora;3,70
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;13;Acropora;7,41
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;14;Acropora;3,70
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;15;Acropora;3,70
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;16;Acropora;3,70
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;17;Acropora;0,00
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;18;Acropora;1,23
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;19;Acropora;0,00
1993-03-19;1993;moorea;e2b;Moorea Entre 2 Baies;Yannick Chancerelle;20;Acropora;11,11
